id,price,dprice
gold1998,350.28979,-0.07099517
gold1999,338.46646,-0.03375301
gold2000,343.17969,0.01392524
gold2001,346.2702,0.00900553
gold2002,400.76114,0.15736537
gold2003,446.75055,0.11475516
gold2004,470.9303,0.0541236
gold2005,496.30219,0.0538761
gold2006,657.58691,0.32497284
gold2007,714.39044,0.08638178
gold2008,829.45947,0.16107303
gold2009,986.9649,0.18988924
gold2010,1198.334,0.21416068
gold2011,1383.3618,0.15440422
gold2012,1482.7507,0.07184593
gold2013,1259.0565,-0.15086435
gold2014,1144.3325,-0.09111902
gold2015,1160.5688,0.01418847
gold2016,1299.6785,0.11986331
gold2017,1264.3907,-0.02715112
gold2018,1220.222,408.86099
gold2019,1369.7092,0.12250818
gold2020,1749.8757,0.27755269
gold2021,1750.9425,0.00060963
goldLast,2021.0,2021.0
iron0005,595.58698,1.1671196
iron0010,87.835129,-0.14372166
iron0015,129.25661,0.238113
iron0020,53.747841,0.16750114
iron1960,58.374454,
iron1961,55.254818,-0.05344181
iron1962,54.193436,-0.01920886
iron1963,55.254818,0.01958507
iron1964,50.635223,-0.08360528
iron1965,52.217995,0.03125831
iron1966,44.968506,-0.13883124
iron1967,41.486301,-0.07743651
iron1968,41.425819,-0.00145788
iron1969,44.118153,0.06499167
iron1970,41.475784,-0.059893
iron1971,41.400986,-0.00180343
iron1972,37.953049,-0.08328152
iron1973,32.725861,-0.13772775
iron1974,34.783077,0.06286211
iron1975,40.494972,0.16421477
iron1976,52.536957,0.29736987
iron1977,49.328987,-0.0610612
iron1978,39.484055,-0.19957703
iron1979,38.777878,-0.01788511
iron1980,42.1408,0.08672271
iron1981,42.092731,-0.00114068
iron1982,50.196163,0.19251379
iron1983,46.010559,-0.08338494
iron1984,42.422443,-0.07798462
iron1985,43.541634,0.02638203
iron1986,37.429214,-0.14038102
iron1987,32.907055,-0.12081898
iron1988,29.679958,-0.09806702
iron1989,34.196388,0.15217103
iron1990,38.466606,0.12487336
iron1991,41.52335,0.07946486
iron1992,38.814873,-0.06522781
iron1993,32.974636,-0.15046389
iron1994,30.933861,-0.06188924
iron1995,30.210855,-0.02337262
iron1996,32.555672,0.07761502
iron1997,34.33548,0.05466968
iron1998,36.915123,0.07513054
iron1999,33.498386,-0.09255655
iron2000,35.40868,0.05702643
iron2001,38.37236,0.08369926
iron2002,37.894783,-0.01244587
iron2003,39.266354,0.03619418
iron2004,43.616207,0.11077814
iron2005,72.519226,0.66266698
iron2006,75.442642,0.04031229
iron2007,126.1067,0.67155737
iron2008,148.43303,0.17704313
