countrycode,year,gpop_med,watp_1564_med
NLD,2055,-0.0014378628693521023,0.5950724838551565
NLD,2056,-0.0015598086174577475,0.5933976589400768
NLD,2057,-0.0016449234681203961,0.5916473201675919
NLD,2058,-0.00160361104644835,0.5898708969182201
NLD,2059,-0.001546864048577845,0.5880100649886894
NLD,2060,-0.0015212673461064696,0.5861686474855955
NLD,2061,-0.00149769417475909,0.5843562035708878
NLD,2062,-0.0013810369418933988,0.5824102323804532
NLD,2063,-0.001275018323212862,0.5801871389805316
NLD,2064,-0.0012328954180702567,0.5776708196874456
NLD,2065,-0.0011684714118018746,0.57494521255782
NLD,2066,-0.0010679534170776606,0.5723073699533222
NLD,2067,-0.0009040047298185527,0.5699789942758895
NLD,2068,-0.0008249683305621147,0.5677216168163299
NLD,2069,-0.0008340846397913992,0.5655593916634231
NLD,2070,-0.0008412207826040685,0.5636452324420647
NLD,2071,-0.0008388959686271846,0.5619324497750455
NLD,2072,-0.0008735350565984845,0.5604370244916771
NLD,2073,-0.0009524865308776498,0.5590645828951718
NLD,2074,-0.0009858201956376433,0.5577690370443033
NLD,2075,-0.0010640538530424237,0.5566342672547089
NLD,2076,-0.0012748221633955836,0.5557261864669117
NLD,2077,-0.0014885769924148917,0.5551016521431145
NLD,2078,-0.001572160399518907,0.5547413462624341
NLD,2079,-0.0016286215977743268,0.5544242622150075
NLD,2080,-0.0016873821150511503,0.5541390910809338
NLD,2081,-0.0017799172783270478,0.5539409282441036
NLD,2082,-0.0019135813927277923,0.5537568254135504
NLD,2083,-0.001994115998968482,0.5536448901969725
NLD,2084,-0.002030676696449518,0.5535259506454729
NLD,2085,-0.002026564907282591,0.5533802391974442
NLD,2086,-0.002110294532030821,0.5528866441509059
NLD,2087,-0.0021062009036540985,0.5522960422806422
NLD,2088,-0.00211799587123096,0.5520905721291831
NLD,2089,-0.002230017678812146,0.5519171485641039
NLD,2090,-0.0023081579711288214,0.5515723977503098
NLD,2091,-0.0022883827332407236,0.5511357372616951
NLD,2092,-0.00220227288082242,0.5506298824577863
NLD,2093,-0.0022304451558738947,0.5500380184481327
NLD,2094,-0.0022252164781093597,0.5493691247488384
NLD,2095,-0.0021653063595294952,0.5486369628684566
NLD,2096,-0.0020795485470443964,0.5478610026557401
NLD,2097,-0.0019935856107622385,0.5470573659246236
NLD,2098,-0.001934295753017068,0.5462432234982453
NLD,2099,-0.0019096549367532134,0.5454185744550379
NLD,2100,-0.001962429378181696,0.5445819774276964
NCL,2024,0.009507221169769764,0.6726774751870476
NCL,2025,0.009163766168057919,0.6713286358111014
NCL,2026,0.008627471514046192,0.6697869197781079
NCL,2027,0.00827738456428051,0.6679894862477257
NCL,2028,0.008192921988666058,0.6659858868903938
NCL,2029,0.007939630188047886,0.6640185943813912
NCL,2030,0.007584521546959877,0.6618358980027765
NCL,2031,0.007324117701500654,0.6593558569316869
NCL,2032,0.007107441779226065,0.6567024036327687
NCL,2033,0.006840876303613186,0.6539249277110543
NCL,2034,0.006525655277073383,0.6511487083651518
NCL,2035,0.006282261107116938,0.6482570516859157
NCL,2036,0.00616496941074729,0.6452930595113175
NCL,2037,0.006071323994547129,0.6422624923174343
NCL,2038,0.0058588022366166115,0.6392054966571672
NCL,2039,0.005474862176924944,0.6363155076028795
NCL,2040,0.005112282000482082,0.6337841737162957
NCL,2041,0.004846252966672182,0.6316322840794795
NCL,2042,0.004898478742688894,0.6295778885507239
NCL,2043,0.004838490393012762,0.6275657441372691
NCL,2044,0.004401827696710825,0.6256063179907543
NCL,2045,0.004143875557929277,0.623559283095091
NCL,2046,0.003930646926164627,0.6213335869366552
NCL,2047,0.00342668779194355,0.6190031927685865
NCL,2048,0.0030075744725763798,0.6167958541878904
NCL,2049,0.0029131758492439985,0.6147999517140056
NCL,2050,0.0027549806982278824,0.6128169404883721
NCL,2051,0.0024106220807880163,0.6107008746287368
NCL,2052,0.0022411758545786142,0.6086737966820441
NCL,2053,0.0022274162620306015,0.6069223838031558
NCL,2054,0.0019052729476243258,0.6052825356170962
NCL,2055,0.0016576035413891077,0.6036190088768142
NCL,2056,0.0015098067233338952,0.60214114745775
NCL,2057,0.0013771611265838146,0.6009474141677532
NCL,2058,0.0014794208109378815,0.6000610423781648
NCL,2059,0.0012316625798121095,0.5995608047097916
NCL,2060,0.0009357428643852472,0.5994751891181127
NCL,2061,0.0008194994879886508,0.5996198393114419
NCL,2062,0.000671834743116051,0.5997685398699443
NCL,2063,0.0006425781757570803,0.5998167944208717
NCL,2064,0.0006536804139614105,0.5995779819418876
NCL,2065,0.0005151560762897134,0.598710427354362
NCL,2066,0.0003250736917834729,0.5973221733252797
NCL,2067,4.889574847766198e-05,0.5959857573047022
NCL,2068,-0.00017546054732520133,0.5946879692543137
NCL,2069,-0.0002244042552774772,0.593338771423269
NCL,2070,-0.0002474784560035914,0.5920382545979914
NCL,2071,-0.00023602487635798752,0.5906456905981923
NCL,2072,-0.00024471874348819256,0.5892031114803142
NCL,2073,-0.00016413906996604055,0.5879376507433672
NCL,2074,-7.199931860668585e-05,0.5867810249040214
NCL,2075,-0.00022755193640477955,0.585553417412296
NCL,2076,-0.00036591989919543266,0.5843190257243019
NCL,2077,-0.0003775852674152702,0.583057057853527
NCL,2078,-0.0006286642164923251,0.5816995160929735
NCL,2079,-0.0008051518816500902,0.5803007688110422
NCL,2080,-0.0005660143215209246,0.5791552745870326
NCL,2081,-0.0004998606164008379,0.5780968441617932
NCL,2082,-0.0006071031093597412,0.5768962161708847
NCL,2083,-0.0005235609714873135,0.5757264502240906
NCL,2084,-0.0007583476253785193,0.5743723161829642
NCL,2085,-0.0009588880930095911,0.5728866417119894
NCL,2086,-0.0010149311274290085,0.5714250484512993
NCL,2087,-0.0012018498964607716,0.5699801314115412
NCL,2088,-0.0012934562982991338,0.5686085455468252
NCL,2089,-0.001251448062248528,0.5673147207087048
NCL,2090,-0.0012705111876130104,0.5661173170511239
NCL,2091,-0.0014268772210925817,0.5650109574360913
NCL,2092,-0.0014347644755616784,0.5639826710705425
NCL,2093,-0.0014133988879621029,0.5630218879991566
NCL,2094,-0.0015356393996626139,0.5621077298483125
NCL,2095,-0.0017025078414008021,0.5612323140923192
NCL,2096,-0.0017524983268231153,0.5603950110068631
NCL,2097,-0.001891200547106564,0.559554822340264
NCL,2098,-0.0019568235147744417,0.5587408507086776
NCL,2099,-0.0018067440250888467,0.5579746176066676
NCL,2100,-0.001928623765707016,0.5571791199243227
NZL,2024,0.007915487512946129,0.6468557199693744
NZL,2025,0.0072531504556536674,0.645131503861746
NZL,2026,0.006751847453415394,0.6432206161007921
NZL,2027,0.006295251194387674,0.6410946291588943
NZL,2028,0.005801547784358263,0.6388948525821733
NZL,2029,0.005360777024179697,0.6368196351464006
NZL,2030,0.004959805402904749,0.6350290132928353
NZL,2031,0.004637349396944046,0.6334452066803712
NZL,2032,0.004341060761362314,0.6318207281681026
NZL,2033,0.004116974771022797,0.6299659805213935
NZL,2034,0.0039055708330124617,0.6279267946899906
NZL,2035,0.0037270020693540573,0.625862213408772
NZL,2036,0.0036499970592558384,0.6236812121883725
NZL,2037,0.0035250457003712654,0.6215903140708025
NZL,2038,0.0035065701231360435,0.6199863904053972
NZL,2039,0.0034198423381894827,0.6188398056332008
NZL,2040,0.003261151723563671,0.6180393376486404
NZL,2041,0.003287103958427906,0.6174544242808367
NZL,2042,0.003247859887778759,0.6169270711510304
NZL,2043,0.0029801044147461653,0.6163068724000927
NZL,2044,0.0026994063518941402,0.6154823938525481
NZL,2045,0.0024997203145176172,0.6144737798844727
NZL,2046,0.0022593303583562374,0.6133271490955552
NZL,2047,0.002002736320719123,0.6120227179375163
NZL,2048,0.001896921545267105,0.6105962866211506
NZL,2049,0.0016869273968040943,0.6091004747488821
NZL,2050,0.0017094546929001808,0.6075996203491137
NZL,2051,0.0019836833234876394,0.6060803589148797
NZL,2052,0.001761496183462441,0.6043265027178152
NZL,2053,0.001582991797477007,0.6023021289793331
NZL,2054,0.0016520983772352338,0.6001140174911942
NZL,2055,0.001565996091812849,0.5977434606701311
NZL,2056,0.001308258855715394,0.5953134262440182
NZL,2057,0.0010584037518128753,0.5930958108434076
NZL,2058,0.000978821306489408,0.5913042918372033
NZL,2059,0.0008665340137667954,0.5899749124491824
NZL,2060,0.0006887097260914743,0.588955138957569
NZL,2061,0.00039935781387612224,0.588155766102882
NZL,2062,0.0004468174302019179,0.5876310423894462
NZL,2063,0.0005056838854216039,0.5873220987921268
NZL,2064,0.00045973973465152085,0.5870684523720398
