Country Name,WB Code,Region,Income Group,Probability of Survival to Age 5,Expected Years of School,Harmonized Test Scores,Learning-Adjusted Years of School,Fraction of Children Under 5 Not Stunted,Adult Survival Rate,HUMAN CAPITAL INDEX 2020 (LOWER BOUND),HUMAN CAPITAL INDEX 2020,HUMAN CAPITAL INDEX 2020 (UPPER BOUND)
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,0.9692438840866089,11.822689056396484,379.902587890625,7.186351776123047,-,0.8392251133918762,0.47041967511177063,0.5059665441513062,0.5291780233383179
Moldova,MDA,Europe & Central Asia,Lower middle income,0.9842086434364319,11.810912132263184,438.6209411621094,8.28882122039795,0.9358964562416077,0.8355879187583923,0.5746731758117676,0.5841535329818726,0.5929018259048462
Mongolia,MNG,East Asia & Pacific,Lower middle income,0.9836758375167847,13.162771224975586,434.6186828613281,9.153257369995117,0.905842661857605,0.7959926128387451,0.5966362953186035,0.6143975257873535,0.6304108500480652
Montenegro,MNE,Europe & Central Asia,Upper middle income,0.9974550008773804,12.765830039978027,436.1297302246094,8.908092498779297,0.9060600996017456,0.9056139588356018,0.624314546585083,0.6331818103790283,0.6406984925270081
Morocco,MAR,Middle East & North Africa,Lower middle income,0.9775886535644531,10.379854202270508,380.40521240234375,6.317681312561035,0.8489357829093933,0.9341241121292114,0.4934130311012268,0.5041163563728333,0.513883650302887
Mozambique,MOZ,Sub-Saharan Africa,Low income,0.9267822504043579,7.589724540710449,368.24359130859375,4.471787929534912,0.577081561088562,0.6808788180351257,0.3430505692958832,0.36211666464805603,0.377384215593338
Myanmar,MMR,East Asia & Pacific,Lower middle income,0.9538057446479797,9.990972518920898,424.63128662109375,6.787967205047607,0.7062889337539673,0.8048852682113647,0.4590986669063568,0.47765201330184937,0.49424391984939575
Namibia,NAM,Sub-Saharan Africa,Upper middle income,0.960381269454956,9.384431838989258,406.661865234375,6.106064796447754,0.7728365659713745,0.708560585975647,0.42295604944229126,0.4464375376701355,0.465390145778656
Nauru,NRU,East Asia & Pacific,High income,0.9681686758995056,11.740946769714355,346.6296691894531,6.5116167068481445,-,0.9309999942779541,0.4850863516330719,0.5084121227264404,0.5265761613845825
Nepal,NPL,South Asia,Lower middle income,0.9678153395652771,12.254973411560059,368.5575866699219,7.226661205291748,0.6397981643676758,0.8561713695526123,0.48969578742980957,0.504601776599884,0.5186126232147217
Netherlands,NLD,Europe & Central Asia,High income,0.9961264729499817,13.878768920898438,519.6346435546875,11.539022445678711,-,0.9462765455245972,0.7802541851997375,0.7899150252342224,0.7995548248291016
New Zealand,NZL,East Asia & Pacific,High income,0.994301974773407,13.696813583374023,519.7484130859375,11.39023494720459,-,0.939959704875946,0.7680107951164246,0.7759324312210083,0.7834054231643677
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,0.9817061424255371,10.758749961853027,391.9904479980469,6.74772310256958,0.8274065852165222,0.8513867855072021,0.5000671744346619,0.5080982446670532,0.515531063079834
Niger,NER,Sub-Saharan Africa,Low income,0.9163431525230408,5.4982500076293945,304.9222412109375,2.682461977005005,0.515173077583313,0.7666255235671997,0.29482802748680115,0.3156851828098297,0.33261701464653015
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,0.880086362361908,10.1899995803833,309.02496337890625,5.038342475891113,0.6318435668945312,0.6585401296615601,0.33457151055336,0.36060982942581177,0.38145971298217773
