countrycode,country_name,kg_kp_ratio,kg_k_share,kg_kp_fad,kg_k_fad,iei,pimi,efficiency_pimi,ig_i_20yr,ig_i_15yr,ig_i_10yr,ig_i_5yr,ig_i_current,ip_y,i_y,ig_y
BEL,Belgium,0.16924355924129486,0.14474619925022125,0.23332391679286957,0.18918299674987793,0.9059171676635742,1.0,,0.09964841604232788,0.10027842223644257,0.1059991791844368,0.10701654851436615,0.10865660756826401,,0.24398099038101814,
BLZ,Belize,0.6495456099510193,0.3937724530696869,0.8194946050643921,0.4503968358039856,0.7713719606399536,0.06750000268220901,,0.3345034718513489,0.2807198762893677,0.31246352195739746,0.29177653789520264,0.2909383773803711,,,
BEN,Benin,0.5798448920249939,0.3670264482498169,0.662496030330658,0.39849480986595154,0.4566204249858856,0.38999998569488525,,0.24822768568992615,0.24578024446964264,0.22433635592460632,0.2294510304927826,0.1556520015001297,0.2811629138869483,0.3466555094081791,0.06549260020256042
BMU,Bermuda,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,,,,,0.16820192337036133,,0.11283713057615645,
BTN,Bhutan,0.41453269124031067,0.2930527627468109,0.41009625792503357,0.29082855582237244,0.688909649848938,0.39125001430511475,,0.2391609251499176,0.23794424533843994,0.2221480906009674,0.2166576385498047,0.2235756367444992,,,
BOL,Bolivia,1.3457765579223633,0.5737019181251526,1.6913410425186157,0.6284379959106445,0.7030819058418274,0.6100000143051147,,0.5332954525947571,0.5781276226043701,0.5846914052963257,0.5925330519676208,0.51713627576828,,,
BIH,Bosnia and Herzegovina,0.5285881161689758,0.34580153226852417,0.7004559636116028,0.4119224548339844,0.8636134266853333,0.4695824384689331,,0.29754194617271423,0.2681021988391876,0.2398579716682434,0.17383059859275818,0.1620367467403412,,,
BWA,Botswana,0.528976559638977,0.34596773982048035,0.6224275231361389,0.3836396336555481,0.7713719606399536,0.5874999761581421,,0.3222889006137848,0.30142709612846375,0.27167242765426636,0.2617551386356354,0.22644510865211487,,0.2849303449489909,
BRA,Brazil,0.4196368455886841,0.2955944836139679,0.19284535944461823,0.16166836023330688,0.6687687635421753,0.7799999713897705,,0.21544843912124634,0.20981042087078094,0.19312003254890442,0.16151107847690582,0.13445325195789337,,0.1703290636789027,
VGB,British Virgin Islands,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,,,,,0.16820192337036133,,,
BRN,Brunei Darussalam,0.32759758830070496,0.24675969779491425,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,0.20293712615966797,0.19418001174926758,0.176665797829628,0.12412311881780624,0.05147009715437889,0.2724224899688032,0.2815987341143213,0.009176244027912617
BGR,Bulgaria,0.2732006013393402,0.2145778238773346,0.40016844868659973,0.2858002185821533,0.8717163801193237,0.4867648780345917,,0.18274739384651184,0.18102425336837769,0.18895837664604187,0.18428492546081543,0.17979976534843445,,0.17934884346033145,
BFA,Burkina Faso,0.6558326482772827,0.39607423543930054,0.8541303277015686,0.4606635868549347,0.6186082363128662,0.5224999785423279,,0.3678017556667328,0.33585432171821594,0.30173930525779724,0.2801133990287781,0.2555886507034302,,0.16495629845885923,
BDI,Burundi,0.649274468421936,0.39367279410362244,0.8174363970756531,0.4497744143009186,0.6186082363128662,0.23000000417232513,,0.3753834366798401,0.42003846168518066,0.3831368684768677,0.2575733959674835,0.2702248990535736,,,
CPV,Cabo Verde,0.36441266536712646,0.26708391308784485,0.45954298973083496,0.3148540258407593,0.7713719606399536,0.45276695489883423,,0.24351942539215088,0.22435042262077332,0.20328277349472046,0.12202053517103195,0.10414111614227295,,,
KHM,Cambodia,0.5727624893188477,0.36417609453201294,0.7304098606109619,0.4221022427082062,0.6719135046005249,0.39250001311302185,,0.34892842173576355,0.3457658290863037,0.3517094850540161,0.20086923241615295,0.19247211515903473,,0.3158534979277247,
CMR,Cameroon,0.37409040331840515,0.272245854139328,0.3670763373374939,0.26851195096969604,0.688909649848938,0.39764204621315,,0.17029651999473572,0.1964786946773529,0.2210002839565277,0.24966251850128174,0.22622084617614746,0.17949720713193704,0.2137941142347715,0.0342969074845314
CAN,Canada,0.27302858233451843,0.21447168290615082,0.2681877017021179,0.21147318184375763,0.8708469867706299,1.0,,0.16622446477413177,0.16923385858535767,0.16944876313209534,0.16794295608997345,0.17537079751491547,,0.22661075852649099,
CYM,Cayman Islands,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,,,,,0.16820192337036133,,,
CAF,Central African Republic,1.5663563013076782,0.6103425025939941,1.6573126316070557,0.6236799359321594,0.6186082363128662,0.34838199615478516,,0.38852110505104065,0.3736479580402374,0.3501816987991333,0.3398667871952057,0.3832941949367523,,0.15408963363649375,
TCD,Chad,0.4623413681983948,0.31616514921188354,0.8174363970756531,0.4497744143009186,0.6186082363128662,0.25,,0.2688082754611969,0.27352187037467957,0.2662074863910675,0.19061020016670227,0.19049091637134552,0.017909108105460158,0.14393803277662537,0.12602892518043518
